 ,1.1 Положение о Совете профилактики безнадзорности и правонарушений:,1.2 Положение о постановке обучающихся и семей на внутришкольный учет (ВШУ):,1.3 Положение о разработке и реализации плана индивидуальной профилактической работы,1.4 Положение о Служба школьной медиации (СШМ),1.5 Положение о психолого-педагогическом консилиуме,1.6 Положение о Штабе воспитательной работы (ШВР),1.7 Локальные акты утверждены руководителем ОО и размещены на официальном сайте образовательной организации в соответствии с установленными требованиями законодательства,1.8 Анализ воспитательного процесса включается в календарный план воспитательной работы,1.9 В рабочей программе воспитания профилактическая работа представлена инвариантным модулем «Профилактика и безопасность»,"1.10 В рабочей программе воспитания в разделе «Уклад образовательной организации» приведены дополнительные характеристики анализа контингента обучающихся, их семей, иные его особенности.",1.11 План профилактической работы является:,1.12 Наличие программ и проектов профилактической направленности по:,1.13 Организация деятельности классных руководителей:,1.14 Организация деятельности педагогов-психологов:,1.15 У социального педагога есть перспективный план работы на текущий учебный год:,Сумма 1,2.1 В образовательной организации проводится социально-психологическое тестирование (АИС СПТ):,2.2 В образовательной организации организована работа по прохождению обучающимися профилактического медицинского осмотра (ПМО):,2.3 В образовательной организации создана/работает Служба школьной медиации (СШМ):,Сумма 2,"3.1 Доля обучающиеся, состоящих на различных видах учета:",3.2 Организация индивидуальной профилактической работы,"3.3 Результаты реализации плана ИПР по каждому обучающемуся рассматриваются на Совете профилактики, обучающиеся с суицидальным поведением на ППк.",3.4 Постановка на ВШУ и снятие с учета:,"3.5 На каждого обучающегося, поставленного на ВШУ имеются наблюдательные (накопительные) дела.",3.6 Охват обучающихся программами дополнительного образования:,3.7 Организация летнего отдыха обучающихся:,Сумма 3,4.1 В образовательной организации проведены запланированные профилактические мероприятия с обучающимися.,4.2 Обучающиеся принимают участие в конкурсах социокультурной направленности:,4.3 Обучающиеся принимают участие в мероприятиях профилактической направленности:,"4.4 В образовательной организации проводится фестиваль/конкурс проектных работ, в котором есть направление, касающихся вопросов культуры здорового образа жизни.","4.5 Обучающиеся принимают участие в конкурсах проектных и исследовательских работ с темами, касающимися вопросов культуры здорового образа жизни:",4.6 В планы работы классных руководителей включены:,"4.7 Организация общественно полезной деятельности обучающихся, состоящих на различных видах учета:",4.8 В образовательной организации используются утвержденные нормативным документом психодиагностические методики (на основе региональных и/или федеральных рекомендаций).,Сумма 4,5.1 В образовательной организации проводятся не менее 4 совещаний при директоре по вопросам профилактики негативных проявлений и социальных рисков.,"5.2 В образовательной организации проводится не менее 2 педагогических советов, включающих вопросы профилактики негативных проявлений и социальных рисков.",5.3 В образовательной организации есть график прохождения курсов повышения квалификации педагогов по вопросам воспитания (в том числе по вопросам профилактики правонарушений и негативных явлений).,5.4 С целевыми группами педагогических работников в рамках методической работы проводится не менее 4 обучающих семинары по вопросам профилактики негативных проявлений и социальных рисков.,"5.5 Заместитель директора и осуществляет контроль за организацией профилактической работы в отдельных классах, по отдельным темам, профилактическим неделям.","5.6 В школе ведется системная работа с классными руководителями, в том числе по вопросу организации профилактической работы, проводятся:",5.7 Информационная открытость:,"5.8 Проведение при участии родителей не менее 4 рейдов в места массового скопления молодежи на территории, закрепленной за школой.","5.9 Проведение не менее 4 профилактических мероприятий, проведенных в ОО в межведомственном формате (в течение учебного года)",Сумма 5,Наличие в отчетный период суицидальных попыток среди обучающихся,Наличие в отчетный период среди обучающихся зафиксированных случаев правонарушений,"Наличие выявленных случаев вхождения обучающихся в экстремистские (и иные запрещенные) сообщества, в том числе в социальных сетях, в отчетный период",Общая сумма
87,12,5,5,5,0,6,1,1,8,0,2,4,1,11,6,67,6,3,4,13,2,9,1,3,1,2,0,18,1,2,2,0,0,2,0,0,7,1,1,0,0,1,2,5,0,1,11,,,,116
88,13,5,5,5,9,6,1,1,8,1,2,4,2,11,0,73,6,0,1,7,2,0,0,3,1,2,5,13,1,2,2,1,1,2,2,1,12,1,1,1,1,1,2,6,1,1,15,,,,120
89,13,5,5,5,9,6,1,1,8,1,2,3,2,0,0,61,6,5,7,18,2,0,1,3,1,2,6,15,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,5,1,1,14,,,,121
90,13,5,5,5,9,6,1,1,8,1,2,4,2,4,0,66,6,0,3,9,1,0,0,3,1,2,0,7,1,0,2,1,0,2,2,1,9,1,1,1,1,1,2,0,1,0,8,,,,99
91,13,5,5,5,9,6,1,1,8,1,2,4,1,10,2,73,6,3,6,15,2,0,1,2,0,0,0,5,1,2,2,1,2,2,2,1,13,1,1,1,0,1,2,6,0,0,12,,,,118
92,13,5,0,5,9,6,1,1,8,1,2,4,2,11,7,75,6,0,7,13,2,0,0,3,1,2,0,8,1,2,2,1,2,2,2,1,13,1,1,1,0,1,2,6,1,1,14,,,,123
93,13,5,0,5,9,6,1,1,8,1,2,4,2,11,0,68,6,3,6,15,1,9,0,3,1,0,0,14,1,0,2,1,2,2,0,1,9,1,1,1,0,1,2,0,1,1,8,,,,114
94,0,5,0,4,7,3,1,1,2,0,2,4,2,8,2,41,6,3,6,15,1,0,1,2,1,2,5,12,1,0,0,0,0,2,1,0,4,1,1,1,0,0,1,0,1,1,6,,,,78
95,13,0,0,5,9,6,1,1,8,1,2,3,2,11,7,69,6,5,5,16,2,9,1,2,1,0,0,15,1,2,0,0,0,2,2,0,7,1,1,1,0,1,0,6,1,1,12,,,,119
96,13,5,5,4,9,6,1,1,8,1,2,4,2,11,7,79,6,5,7,18,1,0,1,3,1,2,6,14,1,2,2,1,2,2,2,1,13,1,1,1,0,1,2,6,1,0,13,,,,137
97,13,5,5,5,0,6,1,0,8,1,0,2,2,11,7,66,6,0,5,11,0,0,1,2,0,2,0,5,0,0,0,1,0,2,1,0,4,0,1,0,0,1,2,6,0,0,10,,,,96
98,0,5,0,5,9,5,1,1,7,1,1,4,1,10,0,50,6,0,4,10,1,0,0,0,1,0,0,2,1,0,0,1,0,2,1,0,5,0,1,0,0,0,2,0,0,0,3,,,,70
99,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,9,1,3,1,2,4,22,1,1,1,1,1,2,0,1,8,1,1,1,1,1,2,0,1,1,9,,,,137
100,11,5,5,5,9,5,1,1,2,0,1,4,2,11,2,64,6,5,7,18,0,8,0,3,1,2,6,20,1,0,0,1,0,1,0,1,4,1,1,1,1,1,1,6,1,0,13,,,,119
101,12,5,5,4,9,5,1,1,6,1,2,4,1,10,6,72,0,3,7,10,2,9,1,3,1,2,5,23,1,1,0,0,0,2,0,1,5,1,0,1,0,1,2,6,1,0,12,,,,122
102,10,5,0,5,8,3,1,1,1,1,1,2,2,6,3,49,5,0,5,10,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,1,11,1,1,1,0,0,1,0,1,1,6,,,,76
103,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,0,4,10,2,0,0,2,1,0,0,5,1,2,2,1,0,2,0,1,9,0,1,0,0,1,2,6,0,1,11,,,,115
104,13,5,5,4,8,6,1,1,8,1,2,4,2,11,7,78,6,5,7,18,2,9,1,2,0,0,0,14,1,2,2,1,2,2,0,1,11,1,1,1,0,1,2,6,1,1,14,,,,135
105,13,5,5,5,9,6,1,1,7,1,2,4,2,11,7,79,6,5,6,17,2,9,1,3,1,2,6,24,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,148
106,13,5,5,5,9,5,1,1,6,1,1,4,2,8,0,66,6,1,5,12,2,0,0,3,1,2,5,13,1,2,2,1,2,2,1,0,11,1,1,0,1,1,2,6,1,1,14,,,,116
107,12,5,5,5,0,6,1,1,5,1,2,4,2,8,5,62,6,0,5,11,0,0,1,3,1,2,0,7,1,0,2,0,0,2,2,0,7,1,0,1,0,1,0,0,0,0,3,,,,90
108,13,5,5,5,9,6,1,1,8,1,2,4,2,10,7,79,6,0,5,11,1,0,0,3,1,0,0,5,1,0,0,1,0,2,0,1,5,1,1,1,1,1,2,6,0,0,13,,,,113
109,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,0,7,13,0,0,0,3,0,0,0,3,1,0,0,1,0,2,2,1,7,1,1,1,0,1,2,6,0,1,13,,,,116
110,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,1,0,1,3,1,2,6,14,1,0,2,1,2,2,2,1,11,1,1,1,1,1,2,6,1,1,15,,,,138
111,13,5,5,5,9,6,1,1,7,0,2,0,2,11,7,74,0,0,0,0,2,0,1,3,1,2,5,14,1,2,2,1,2,2,2,0,12,1,1,1,1,1,2,6,1,1,15,,,,115
112,13,5,5,5,0,6,1,1,8,1,2,4,2,11,0,64,6,5,7,18,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,110
113,11,2,5,5,9,6,1,1,8,1,2,4,2,11,7,75,6,1,7,14,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,1,0,0,0,0,0,6,0,0,7,,,,99
114,0,5,5,4,9,5,1,1,3,1,2,3,1,10,7,57,6,0,7,13,2,0,1,2,1,2,0,8,1,2,2,1,2,2,1,0,11,0,1,0,0,1,1,0,0,1,4,,,,93
115,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,9,1,3,1,2,6,24,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,150
116,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,9,1,3,1,2,4,22,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,148
117,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,9,1,3,1,2,5,23,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,0,1,14,,,,148
118,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,9,1,3,1,2,6,24,0,2,2,1,2,2,2,1,12,0,1,1,1,1,2,6,1,1,14,,,,148
119,12,5,5,5,9,6,1,1,8,1,2,4,2,11,7,79,6,5,7,18,2,9,1,3,1,2,5,23,1,2,2,1,2,2,2,1,13,0,1,1,1,1,2,6,1,1,14,,,,147
120,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,6,17,2,9,1,3,1,2,5,23,1,2,2,1,2,2,2,0,12,1,1,1,1,1,2,6,0,1,14,,,,146
121,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,9,1,2,1,2,6,23,1,2,2,1,2,2,2,1,13,1,1,0,0,1,2,6,0,1,12,,,,146
122,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,4,15,2,9,1,3,1,2,4,22,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,145
123,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,5,16,2,6,1,3,1,2,5,20,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,144
124,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,0,5,7,12,2,9,1,3,1,2,6,24,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,144
125,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,9,1,3,1,2,0,18,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,144
126,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,9,1,3,1,2,0,18,0,2,2,1,2,2,2,1,12,1,1,1,1,1,2,6,1,1,15,,,,143
127,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,4,15,2,9,1,3,1,2,5,23,1,2,2,1,2,2,0,1,11,1,1,1,0,1,2,6,1,1,14,,,,143
128,13,5,5,5,9,5,1,1,7,1,2,4,2,11,7,78,6,4,6,16,2,9,1,2,1,2,5,22,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,0,1,14,,,,143
129,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,6,17,2,9,1,3,1,2,0,18,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,0,1,14,,,,142
130,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,9,1,2,1,2,3,20,1,2,2,0,2,2,1,1,11,1,0,1,1,1,2,6,0,1,13,,,,142
131,13,5,5,5,9,6,1,1,8,1,2,4,2,10,7,79,6,0,7,13,2,9,1,3,1,2,6,24,1,2,2,1,2,2,2,1,13,1,1,0,1,1,2,6,0,1,13,,,,142
132,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,1,9,1,3,1,2,0,17,1,2,2,1,2,2,2,1,13,1,1,0,1,1,2,6,1,1,14,,,,142
133,13,5,5,5,9,6,1,1,8,1,2,4,1,11,7,79,0,5,7,12,2,9,1,3,1,2,6,24,1,2,2,1,2,2,1,1,12,1,1,0,1,1,2,6,1,1,14,,,,141
134,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,5,16,2,9,1,3,1,2,0,18,1,2,2,1,2,2,1,1,12,1,1,1,1,1,2,6,1,1,15,,,,141
135,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,6,17,2,9,1,2,1,2,0,17,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,0,1,14,,,,141
136,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,6,17,2,9,1,2,1,2,0,17,1,2,2,1,2,2,1,1,12,1,1,1,1,1,2,6,0,1,14,,,,140
137,12,5,5,5,9,6,1,1,8,1,2,4,2,11,7,79,6,5,6,17,2,9,0,2,1,2,0,16,1,2,2,1,2,2,2,1,13,1,1,0,1,1,2,6,1,1,14,,,,139
138,13,5,5,5,9,6,1,1,8,1,2,4,1,11,7,79,6,5,7,18,2,9,1,2,1,2,0,17,0,2,2,1,2,2,1,1,11,1,1,1,1,1,2,6,1,0,14,,,,139
139,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,5,16,2,9,1,3,1,2,0,18,1,2,2,0,0,2,1,1,9,1,1,1,1,1,2,6,1,1,15,,,,138
140,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,0,5,6,11,2,9,1,3,1,2,0,18,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,137
141,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,0,6,12,2,9,1,3,1,2,0,18,1,2,2,1,2,2,1,1,12,1,1,1,1,1,2,6,1,1,15,,,,137
142,13,5,0,5,9,6,1,1,8,1,2,4,2,11,7,75,6,5,6,17,2,9,1,2,1,2,0,17,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,137
143,12,5,5,5,9,6,1,1,8,1,2,4,2,11,7,79,6,5,5,16,2,9,1,3,1,2,0,18,1,2,2,1,2,2,0,1,11,1,1,0,1,1,2,6,0,1,13,,,,137
144,11,5,5,5,9,6,1,1,8,1,2,4,1,11,7,77,6,5,7,18,2,9,1,3,1,2,0,18,1,0,2,1,2,2,2,0,10,1,1,0,1,1,2,6,0,1,13,,,,136
145,13,5,5,5,9,6,1,1,8,1,2,4,2,10,7,79,6,5,6,17,2,9,1,2,1,0,0,15,1,2,2,0,1,2,2,1,11,1,1,1,1,1,2,6,0,1,14,,,,136
146,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,6,17,2,9,1,2,1,1,0,16,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,0,1,1,9,,,,135
147,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,5,16,2,9,1,2,1,2,0,17,1,2,2,1,0,2,0,1,9,1,1,0,1,1,2,6,0,1,13,,,,135
148,12,5,5,5,9,6,1,1,8,1,2,4,2,11,7,79,0,5,7,12,2,9,1,3,1,2,0,18,1,2,2,1,0,2,2,1,11,1,1,1,1,1,2,6,0,1,14,,,,134
149,12,5,5,5,9,5,1,1,6,1,1,4,2,9,7,73,5,5,5,15,2,9,1,2,1,1,4,20,1,2,2,1,2,2,2,1,13,1,1,1,1,1,1,6,0,1,13,,,,134
150,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,0,0,5,5,2,9,1,3,1,2,4,22,1,2,2,1,2,2,2,1,13,1,1,1,0,1,2,6,0,1,13,,,,133
151,13,5,5,5,9,5,1,1,8,1,2,4,2,11,7,79,6,0,4,10,2,9,1,2,1,2,0,17,1,2,2,1,2,2,1,1,12,1,1,1,1,1,2,6,1,1,15,,,,133
152,13,5,5,5,9,6,1,1,8,1,2,4,2,10,7,79,6,5,6,17,2,9,1,2,1,0,0,15,1,2,2,0,0,2,1,1,9,1,1,1,0,1,2,6,0,1,13,,,,133
153,13,5,5,5,9,6,1,1,6,1,2,4,2,11,7,78,6,4,7,17,2,9,1,3,1,1,0,17,1,1,1,0,1,2,1,0,7,1,1,0,1,1,2,6,1,1,14,,,,133
154,13,5,5,5,9,6,1,1,8,1,2,4,1,11,7,79,0,5,6,11,2,9,1,3,1,0,0,16,1,2,2,1,2,2,1,1,12,1,1,1,1,1,2,6,1,1,15,,,,133
155,13,5,5,5,9,6,1,0,8,1,1,3,1,11,7,76,6,5,4,15,2,9,1,2,1,1,0,16,1,2,2,1,1,2,2,1,12,1,1,1,1,1,2,6,0,1,14,,,,133
156,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,0,0,6,6,2,9,1,3,1,2,0,18,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,1,1,15,,,,132
157,13,5,5,5,9,6,1,1,7,1,2,4,1,11,7,78,6,3,5,14,2,9,1,2,1,2,0,17,1,2,2,0,2,2,0,1,10,1,1,0,1,1,2,5,0,1,12,,,,131
158,12,5,5,5,9,6,1,1,8,1,2,4,1,11,7,78,6,4,3,13,2,9,1,2,1,0,0,15,1,2,2,1,2,2,2,1,13,1,1,0,0,1,2,5,0,1,11,,,,130
159,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,5,7,18,2,0,1,2,1,2,0,8,1,2,2,1,2,2,0,1,11,1,1,0,1,1,2,6,0,1,13,,,,130
160,13,5,5,5,9,5,1,1,7,0,1,4,2,11,7,76,6,5,6,17,2,8,1,3,1,0,0,15,1,2,2,0,2,2,0,1,10,1,0,1,0,1,2,6,0,1,12,,,,130
161,11,5,5,5,9,6,1,1,7,1,2,4,2,10,7,76,6,5,5,16,2,9,1,3,1,1,0,17,1,2,2,1,2,2,1,1,12,1,1,0,1,1,2,0,1,1,8,,,,129
162,13,5,5,5,9,6,1,0,8,0,2,4,1,10,7,76,0,5,6,11,2,9,1,2,1,1,0,16,1,2,2,1,2,2,2,0,12,1,1,1,1,1,2,6,0,1,14,,,,129
163,13,2,5,5,9,6,1,1,8,1,2,4,1,10,7,75,0,3,7,10,2,9,1,2,1,2,0,17,1,2,2,1,2,2,1,1,12,1,1,1,1,1,2,6,0,1,14,,,,128
164,11,5,5,5,9,6,1,1,8,0,2,4,1,10,7,75,6,5,4,15,1,7,1,2,1,2,0,14,1,2,2,1,2,2,0,1,11,1,0,1,1,1,2,6,0,1,13,,,,128
165,13,5,5,5,9,6,1,1,8,1,2,4,1,10,7,78,0,5,4,9,2,9,1,3,1,2,0,18,1,2,2,0,1,2,1,1,10,1,1,1,0,1,2,6,0,1,13,,,,128
166,13,5,5,4,9,6,1,1,7,1,2,4,2,11,7,78,6,5,4,15,2,8,1,2,1,1,0,15,1,0,2,0,0,2,1,1,7,1,1,1,1,1,2,5,0,1,13,,,,128
167,13,5,0,5,9,6,1,1,7,1,2,3,2,11,7,73,6,5,5,16,2,8,1,2,1,0,0,14,1,2,2,1,2,2,2,1,13,1,1,1,0,1,2,6,0,0,12,,,,128
168,13,5,5,5,9,6,1,1,7,1,2,4,2,8,6,75,0,5,6,11,2,9,1,3,1,0,0,16,1,2,2,1,2,2,2,1,13,1,1,0,1,1,2,5,0,1,12,,,,127
169,11,5,5,5,9,6,1,1,8,1,2,4,2,10,7,77,0,5,5,10,2,9,1,3,1,0,0,16,1,2,2,1,0,2,1,1,10,1,1,1,1,1,2,6,0,1,14,,,,127
170,13,5,5,5,9,6,1,1,8,1,2,4,2,10,7,79,6,3,4,13,2,8,1,2,1,1,0,15,1,2,2,0,1,2,0,0,8,0,1,0,1,1,2,6,0,1,12,,,,127
171,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,0,5,11,2,9,1,2,1,2,0,17,1,2,2,0,0,2,2,1,10,1,1,0,1,1,2,0,1,1,8,,,,126
172,13,0,5,5,9,6,1,1,8,1,2,4,1,10,7,73,6,0,7,13,2,9,1,3,1,0,0,16,1,2,2,1,0,2,1,1,10,1,1,1,0,1,2,6,0,1,13,,,,125
173,13,5,5,5,9,5,1,1,5,1,2,2,2,10,6,72,6,4,6,16,2,8,0,2,1,1,4,18,1,1,1,0,1,2,0,1,7,1,1,1,0,0,2,6,0,0,11,,,,124
174,13,5,5,5,9,6,1,1,8,1,2,4,1,11,7,79,6,5,6,17,2,0,1,2,1,0,0,6,1,2,2,0,1,2,1,1,10,1,0,0,1,1,2,6,0,1,12,,,,124
175,12,5,5,5,9,4,1,1,6,1,2,4,2,10,7,74,6,5,5,16,2,0,1,2,1,2,0,8,1,2,2,1,2,2,1,1,12,1,1,1,1,1,2,6,0,1,14,,,,124
176,13,5,5,5,9,6,1,1,8,1,2,4,2,10,7,79,0,5,4,9,2,0,1,3,1,2,0,9,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,0,1,14,,,,124
177,13,5,5,5,9,6,1,1,8,1,2,4,1,11,7,79,0,5,0,5,2,9,1,2,1,2,0,17,1,2,2,0,0,2,0,1,8,1,0,1,1,1,2,6,1,1,14,,,,123
178,13,5,5,5,9,6,1,1,8,1,2,0,1,10,7,74,6,0,4,10,2,9,1,2,1,2,0,17,1,2,2,0,0,2,0,1,8,1,1,0,1,1,2,6,0,1,13,,,,122
179,13,5,0,5,9,6,1,1,8,1,2,4,2,11,7,75,6,0,7,13,1,9,1,3,1,0,0,15,1,0,2,1,0,2,0,1,7,1,1,0,1,1,2,5,0,1,12,,,,122
180,11,5,5,5,9,5,1,1,7,1,0,4,1,10,7,72,6,5,7,18,2,9,1,3,1,0,0,16,0,0,0,0,0,2,0,1,3,1,1,0,1,1,2,6,0,1,13,,,,122
181,12,5,5,5,9,4,1,1,5,1,2,4,1,10,7,72,6,5,5,16,2,9,1,2,1,0,0,15,1,0,2,0,0,2,0,1,6,1,1,0,1,1,2,6,0,1,13,,,,122
182,13,5,5,5,9,6,1,1,8,1,2,4,2,10,7,79,6,5,4,15,2,0,1,1,1,2,0,7,1,2,2,1,2,2,2,1,13,0,1,0,0,0,0,6,0,1,8,,,,122
183,13,4,4,5,9,5,1,1,5,1,2,2,1,9,7,69,6,5,5,16,2,9,0,3,1,2,5,22,1,0,0,0,0,2,1,0,4,0,0,1,1,1,2,6,0,0,11,,,,122
184,13,5,0,5,9,6,1,1,8,1,2,3,1,11,7,73,6,0,0,6,2,9,1,2,1,2,0,17,1,2,2,1,2,2,0,1,11,1,1,1,1,1,2,6,0,1,14,,,,121
185,12,5,5,5,9,5,1,0,7,0,2,4,1,10,7,73,0,4,5,9,2,9,1,2,1,1,0,16,1,1,2,1,2,2,0,1,10,1,1,0,1,1,2,6,0,1,13,,,,121
186,13,5,5,5,9,6,1,0,7,1,2,4,2,9,7,76,0,0,4,4,2,9,1,2,1,1,0,16,1,2,2,1,2,2,2,0,12,1,1,1,0,1,2,6,0,1,13,,,,121
187,13,5,5,5,9,6,1,1,8,1,2,4,1,10,7,78,6,4,4,14,2,0,1,3,0,2,0,8,1,2,2,1,2,2,0,0,10,1,1,1,0,0,1,6,0,1,11,,,,121
188,13,5,4,5,9,6,1,1,6,0,1,4,1,10,7,73,6,5,6,17,0,9,1,2,0,0,0,12,1,0,0,1,0,2,0,1,5,1,1,1,1,1,2,6,1,0,14,,,,121
189,13,5,5,5,9,5,1,1,8,1,2,4,1,10,7,77,6,0,6,12,2,9,0,2,1,2,0,16,1,0,2,1,0,0,0,1,5,1,1,1,1,0,0,6,0,1,11,,,,121
190,13,5,0,5,9,6,1,0,6,1,1,4,1,11,7,70,6,5,4,15,2,9,1,2,1,2,0,17,1,0,2,0,0,2,0,1,6,1,1,0,1,1,2,6,0,1,13,,,,121
191,13,5,5,5,9,6,1,1,8,1,2,4,2,11,7,80,6,0,6,12,2,0,1,3,1,2,0,9,1,2,2,1,1,0,0,1,8,1,1,1,0,0,2,6,0,1,12,,,,121
192,12,5,5,5,9,6,1,0,4,0,2,4,1,10,6,70,5,5,5,15,2,9,1,3,1,2,0,18,1,2,2,1,2,2,2,0,12,0,0,0,1,1,2,0,0,1,5,,,,120
193,10,5,4,5,9,5,1,1,7,1,2,3,2,10,7,72,6,1,4,11,2,7,0,2,1,2,0,14,1,2,2,1,2,2,1,0,11,1,1,0,0,1,2,6,0,1,12,,,,120
194,13,5,5,4,7,6,1,1,8,1,2,4,2,8,7,74,6,0,0,6,2,9,0,3,1,2,0,17,1,2,2,1,2,2,1,0,11,0,1,1,0,1,2,6,0,1,12,,,,120
195,13,5,0,5,0,6,1,1,8,1,2,4,2,10,7,65,6,5,7,18,2,0,1,3,1,2,0,9,1,2,2,1,2,2,2,1,13,1,1,1,1,1,2,6,0,1,14,,,,119
196,13,5,5,5,9,6,1,1,8,1,2,4,1,11,6,78,6,5,4,15,2,0,1,3,1,0,0,7,1,0,2,1,2,2,1,1,10,1,1,1,1,1,2,0,0,1,8,,,,118
197,12,5,5,5,8,6,1,1,8,1,2,4,1,11,7,77,6,5,4,15,2,0,1,2,1,2,0,8,1,2,2,1,0,2,0,0,8,0,1,0,0,1,1,6,0,1,10,,,,118
198,12,5,0,5,8,5,1,1,4,1,2,1,2,11,7,65,6,5,4,15,2,6,1,2,1,0,0,12,1,2,2,1,2,2,2,1,13,1,1,0,0,1,2,6,0,1,12,,,,117
199,13,5,5,5,9,6,1,1,8,1,2,3,1,8,5,73,6,4,5,15,2,8,1,2,1,0,0,14,1,0,0,0,0,2,0,1,4,1,0,0,0,1,2,6,0,0,10,,,,116
200,13,5,5,5,9,4,1,1,1,1,2,4,2,9,7,69,6,0,5,11,2,8,1,2,1,2,0,16,1,2,2,0,0,2,1,1,9,1,1,0,0,0,2,6,0,1,11,,,,116
201,12,5,5,5,9,6,1,1,8,1,2,3,1,11,0,70,6,5,4,15,2,9,1,2,1,0,0,15,1,2,2,0,0,2,0,1,8,1,1,0,1,1,2,0,0,1,7,,,,115
202,13,5,5,5,9,6,1,1,8,1,2,3,1,10,7,77,0,5,4,9,2,0,0,3,1,0,0,6,1,2,2,1,2,2,0,1,11,1,0,1,0,1,2,6,0,1,12,,,,115
203,12,5,5,5,9,6,1,1,8,1,2,4,2,11,7,79,6,0,4,10,2,0,1,3,1,1,0,8,1,0,2,1,2,2,2,1,11,1,1,0,1,1,2,0,0,1,7,,,,115
204,13,0,5,5,9,6,1,1,7,1,2,4,1,10,6,71,0,3,4,7,2,9,1,3,1,0,0,16,1,2,2,0,0,2,0,1,8,1,1,0,0,1,2,6,0,1,12,,,,114
205,13,5,5,5,9,6,1,1,5,1,2,3,1,10,7,74,6,5,5,16,2,8,1,3,1,2,0,17,1,0,0,1,0,2,0,1,5,0,0,0,0,1,1,0,0,0,2,,,,114
206,12,5,1,3,9,4,1,1,6,0,2,2,1,9,5,61,5,5,4,14,2,7,1,2,1,1,0,14,1,2,2,1,2,1,2,1,12,1,1,1,1,1,1,6,0,1,13,,,,114
207,12,0,5,5,9,4,1,1,5,1,2,4,1,11,7,68,6,5,7,18,2,0,1,3,1,0,0,7,1,0,2,0,2,2,0,1,8,1,1,0,1,1,2,6,0,1,13,,,,114
